Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
51,We’re right to make a scene about gender equity in the Australian screen industry,https://theconversation.com/were-right-to-make-a-scene-about-gender-equity-in-the-australian-screen-industry-51728,http://www.wift.org/,Women In Film and Television,10,59,false,false,false,true,false,false,false,false,2025-02-12,2025-02-12,false,false
48,meccc,https://meccce.blogspot.com/,https://wift.org/,wift,50142,7,true,false,false,true,false,false,false,false,2024-10-18,2025-06-02,false,false
42,meccc,https://meccce.blogspot.com/%C2%A0,https://wift.org/,wift,50142,5,true,false,false,true,false,false,false,false,2024-12-26,2025-04-25,false,false
35,The Go-Betweens: News,http://www.go-betweens.org.uk/news.htm,http://www.wift.org/wow/WOW_winners2011.htm,WOW film festival,338,48,false,false,false,true,false,false,false,false,2024-09-17,2025-06-04,false,false
33,meccc,https://meccce.blogspot.com/files/textes/droits_usage.html,https://wift.org/,wift,50142,5,true,false,false,true,false,false,false,false,2024-05-13,2025-04-22,false,false
29,Links – Senses of Cinema,http://www.sensesofcinema.com/links/,http://www.wift.org/wow/index.html,WOW International Film Festival,167,178,false,false,false,true,false,false,false,false,2023-10-08,2025-04-30,false,false
29,Links – Senses of Cinema,http://www.sensesofcinema.com/links/,http://www.wift.org/index.html,WIFT – Women in Film and Television (NSW),167,178,false,false,false,true,false,false,false,false,2023-10-08,2025-04-30,false,false
23,meccc,https://meccce.blogspot.com/2022/03/the-record.html,https://wift.org/,wift,50142,5,true,false,false,true,false,false,false,false,2024-05-21,2025-01-08,false,false
21,POLISH DOCS: MY HOUSE WITHOUT ME - promocja polskich filmów dokumentalnych za granicą,http://polishdocs.pl/pl/filmy/ukonczone/1096/moj_dom,http://www.wift.org/wow/,"Women in Film and Television, WOW Film Festival, Australia",37,39,false,false,false,true,false,false,false,false,2024-03-31,2025-05-23,false,false
18,WOW showcases four Indigenous directors | SBS What's On,https://www.sbs.com.au/whats-on/article/wow-showcases-four-indigenous-directors/hyjh5taac,http://www.wift.org/wow,official website,16,43,false,false,false,true,false,false,false,false,2024-04-03,2025-05-18,false,false
17,meccc,https://meccce.blogspot.com/cgi-bin/koha/opac-search.pl,https://wift.org/,wift,50142,5,true,false,false,true,false,false,false,false,2025-03-05,2025-03-05,false,false
17,meccc,https://meccce.blogspot.com/lostpassword.seam,https://wift.org/,wift,50142,5,true,false,false,true,false,false,false,false,2025-01-28,2025-01-28,false,false
17,WOW goes wide for International Women's Day | SBS What's On,https://www.sbs.com.au/whats-on/article/wow-goes-wide-for-international-womens-day/zvrhkpz2s,http://www.wift.org/wow,here,16,36,false,false,false,true,false,false,false,false,2024-04-05,2025-05-20,false,false
16,POLISH DOCS: MÓJ DOM - international promotion of Polish documentary films,http://polishdocs.pl/en/films/1096/,http://www.wift.org/wow/,"Women in Film and Television, WOW Film Festival, Australia",37,39,false,false,false,true,false,false,false,false,2024-03-27,2025-02-26,false,false
14,POLISH DOCS: MÓJ DOM - international promotion of Polish documentary films,http://polishdocs.pl/en/films/finished/1096/,http://www.wift.org/wow/,"Women in Film and Television, WOW Film Festival, Australia",37,39,false,false,false,true,false,false,false,false,2024-03-22,2025-04-02,false,false
12,POLISH DOCS: MÓJ DOM - international promotion of Polish documentary films,http://polishdocs.pl/en/films/finished/1096/my_house_without_me,http://www.wift.org/wow/,"Women in Film and Television, WOW Film Festival, Australia",37,39,false,false,false,true,false,false,false,false,2024-04-05,2025-05-25,false,false
12,A Guide to the Best Picks of Sydney’s Film Festival Season - Concrete Playground,https://concreteplayground.com/sydney/arts-entertainment/film-tv/a-guide-to-the-best-picks-of-sydneys-film-festival-season,http://www.wift.org/wow/WOW_18th_Session5.htm,taking over Surry Hills' Late Night Library,21,100,false,false,false,true,false,false,false,false,2024-07-31,2025-05-31,false,false
12,19th World of Women Film Festival 2013 - Concrete Playground,https://concreteplayground.com/sydney/event/19th-world-of-women-film-festival-2013,http://www.wift.org/wow/WOW_wift.htm,Women in Film and Television NSW,11,112,false,false,false,true,false,false,false,false,2024-04-14,2025-05-24,false,false
12,19th World of Women Film Festival 2013 - Concrete Playground,https://concreteplayground.com/sydney/event/19th-world-of-women-film-festival-2013,http://www.wift.org/wow/index.htm,here,11,112,false,false,false,true,false,false,false,false,2024-10-23,2025-05-24,false,false
12,19th World of Women Film Festival 2013 - Concrete Playground,https://concreteplayground.com/sydney/event/19th-world-of-women-film-festival-2013,http://www.wift.org/wow/WOW_about.htm,19th WOW Film Festival,11,112,false,false,false,true,false,false,false,false,2024-10-23,2025-05-24,false,false
12,20th World of Women Film Festival 2014 - Concrete Playground,https://concreteplayground.com/sydney/event/20th-world-of-women-film-festival-2014,http://www.wift.org/wow/,Visit Website,9,103,false,false,false,true,false,false,false,false,2024-03-26,2025-06-03,false,false
12,20th World of Women Film Festival 2014 - Concrete Playground,https://concreteplayground.com/sydney/event/20th-world-of-women-film-festival-2014,http://www.wift.org/wow/,World of Women Film Festival (WOW),9,103,false,false,false,true,false,false,false,false,2024-03-26,2025-06-03,false,false
12,World of Women’s Film Festival 2012 - Concrete Playground,https://concreteplayground.com/sydney/event/world-of-womens-film-festival-2012,http://www.wift.org/wow/index.htm,WOW (World of Women's Cinema) Film Festival,13,103,false,false,false,true,false,false,false,false,2024-10-23,2025-06-01,false,false
12,World of Women’s Film Festival 2012 - Concrete Playground,https://concreteplayground.com/sydney/event/world-of-womens-film-festival-2012,http://www.wift.org/,Women in Film and Television NSW (WIFT NSW),13,103,false,false,false,true,false,false,false,false,2024-03-12,2025-06-01,false,false
12,World of Women’s Film Festival 2012 - Concrete Playground,https://concreteplayground.com/sydney/event/world-of-womens-film-festival-2012,http://www.wift.org/wow/,Visit Website,13,103,false,false,false,true,false,false,false,false,2024-03-31,2025-06-01,false,false
12,meccc,https://meccce.blogspot.com/component/dashboard/?view=manager,https://wift.org/,wift,50142,5,true,false,false,true,false,false,false,false,2025-03-31,2025-03-31,false,false
12,meccc,https://meccce.blogspot.com/component/dashboardmm/?view=manager,https://wift.org/,wift,50142,5,true,false,false,true,false,false,false,false,2024-12-16,2024-12-16,false,false
12,meccc,https://meccce.blogspot.com/manage/manage-sidebar.html,https://wift.org/,wift,50142,5,true,false,false,true,false,false,false,false,2024-05-24,2025-03-24,false,false
12,Local news satire lacks bite | The Saturday Paper,https://www.thesaturdaypaper.com.au/2015/08/29/local-news-satire-lacks-bite/14407704002291,http://www.wift.org/wow/,Various venues,30,139,false,false,false,true,false,false,false,false,2024-03-24,2025-05-25,false,false
11,POLISH DOCS: At festivals - international promotion of Polish documentary films,http://pd.kff.kei.pl/en/festivals/archive/2014,http://www.wift.org/wow/,"WOMEN IN FILM AND TELEVISION, WOW FILM FESTIVAL, AUSTRALIA 04 – 14.03.2014",204,242,false,false,false,true,false,false,false,false,2024-03-07,2025-02-01,false,true
11,POLISH DOCS: Na festiwalach - promocja polskich filmów dokumentalnych za granicą,http://pd.kff.kei.pl/pl/festiwale/archiwum/2014,http://www.wift.org/wow/,"WOMEN IN FILM AND TELEVISION, WOW FILM FESTIVAL, AUSTRALIA 04 – 14.03.2014",204,242,false,false,false,true,false,false,false,false,2024-04-14,2025-01-31,false,true
11,POLISH DOCS: MY HOUSE WITHOUT ME - promocja polskich filmów dokumentalnych za granicą,http://pd.kff.kei.pl/pl/filmy/ukonczone/1096/moj_dom,http://www.wift.org/wow/,"Women in Film and Television, WOW Film Festival, Australia",34,42,false,false,false,true,false,false,false,false,2024-12-12,2025-04-05,false,false
11,POLISH SHORTS: At festivals -,http://ps.kff.kei.pl/en/festivals/archive/2014,http://www.wift.org/wow/,"WOMEN IN FILM AND TELEVISION, WOW FILM FESTIVAL, AUSTRALIA 04 – 14.03.2014",384,371,false,false,false,true,false,false,false,false,2024-02-27,2025-01-28,false,true
11,POLISH SHORTS: MÓJ DOM -,http://ps.kff.kei.pl/en/films/1096/,http://www.wift.org/wow/,"Women in Film and Television, WOW Film Festival, Australia",35,41,false,false,false,true,false,false,false,false,2024-04-26,2025-03-25,false,false
