Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
49,Blogger: Προφίλ Χρήστη: MA. SABINA B. TEJAMO,https://draft.blogger.com/profile/10233778311890921982,http://worldhealthcareblog.org/,WHCC Affordable Health Innovations,90,11,false,false,false,true,false,false,false,false,2024-06-11,2025-01-19,false,false
25,"$2 health insurance, & best news/ congratulations on efficient world health congress, dc april",https://groups.google.com/g/yunus_discussion/c/yKbP-XXy_us,http://www.worldhealthcareblog.org/2009/04/15/6th-annual-world-healthcare-congress-day-two-part-one/,April 15,65,6,true,false,false,true,false,false,false,false,2024-06-06,2025-03-13,false,false
19,Bloggers and Reporters on China’s Internet Population | Pew Research Center,https://www.pewresearch.org/internet/2007/07/17/bloggers-and-reporters-on-chinas-internet-population/,http://www.worldhealthcareblog.org/2007/07/16/chinas-internet-use-and-rural-health-care-reform/,China’s Internet Use and Rural Health Care Reform,14,83,false,false,false,true,false,false,false,false,2024-05-21,2025-05-25,false,false
19,Keep your genes to yourself after this weekend | ZDNET,https://www.zdnet.com/article/keep-your-genes-to-yourself-after-this-weekend/,http://www.worldhealthcareblog.org/2009/11/06/the-genetic-information-nondiscrimination-act-and-lawyers-run-amok/,wringing their hands,29,141,true,false,false,true,false,false,false,false,2024-11-15,2025-05-10,false,false
18,Spectrum Pharmaceuticals and Zevalin: The Importance of FDA Approval | Seeking Alpha,https://seekingalpha.com/article/149709-spectrum-pharmaceuticals-and-zevalin-the-importance-of-fda-approval,https://www.worldhealthcareblog.org/2007/07/16/are-bexxar-and-zevalin-really-held-hostage-by-market-forces/,"July 16, 2007",14,254,true,false,false,true,false,false,false,false,2025-05-08,2025-05-08,true,false
18,Newsmax Health's Top 100 Health Blogs | Newsmax.com,https://www.newsmax.com/thewire/health-blogs-top-newsmax/2015/10/13/id/695975/,http://www.worldhealthcareblog.org/,World Health Care,110,71,false,false,false,true,false,false,false,false,2024-06-24,2025-05-04,false,false
17,50 Public Health Blogs Worth Connecting With | Online Public Health,https://onlinepublichealth.gwu.edu/resources/50-public-health-blogs/,http://worldhealthcareblog.org/,The World Health Care Congress (WHCC): WHCC Innovations,55,57,false,false,false,true,false,false,false,false,2023-11-28,2025-06-04,false,false
17,Author discusses health care at 'counter-Coulter' event - mlive.com,https://www.mlive.com/annarbornews/2007/10/author_discusses_health_care_a.html,http://www.worldhealthcareblog.org/2007/06/13/matthew-holt-interviews-jonathan-cohn-author-of-sick/,"""Sick: The Untold Story of America's Health Care Crisis""",18,62,false,false,false,true,false,false,false,false,2024-07-25,2025-05-25,false,false
15,Health Care Social Networking | Social Media Today,https://www.socialmediatoday.com/content/health-care-social-networking,http://www.worldhealthcareblog.org/2007/10/16/podcast-interview-with-scott-mcquigg-ceo-of-peerclip/,"podcast interview with the CEO of PeerClip, Scott McQuigg",31,50,true,false,false,true,false,false,false,false,2024-07-04,2025-05-16,false,false
14,All 883 health and medicine blogs on display in one image (playing with Wordle - part 3) - Medicinsk Museion,https://www.museion.ku.dk/blog/all-883-health-and-medicine-blogs-on-display-in-one-image-playing-with-wordle-part-3/,http://www.worldhealthcareblog.org/,World~Healthcare~Blog,886,66,false,false,false,true,false,false,false,false,2024-11-04,2025-05-30,false,false
