Domain ascore,Domain,Links,First seen,Last seen
2,batslive.org,5,2023-12-06,2025-05-07
3,batslondon.com,1,2023-09-09,2025-05-07
3,engage-project.org,1,2025-03-12,2025-05-07
3,sarahgallacher.com,2,2023-12-08,2025-05-07
4,batslive.wordpress.com,18,2023-09-09,2025-05-07
5,kreitmayer.com,2,2023-12-08,2025-05-07
5,naturesmartcities.com,1,2024-08-02,2024-12-20
6,batdetective.org,3,2024-06-05,2025-05-07
6,cities.io,1,2025-03-12,2025-05-07
6,subscribe.wordpress.com,2,2023-09-09,2025-05-07
17,michaelfirman.co.uk,2,2023-12-08,2025-05-07
27,wp.me,13,2023-09-09,2025-05-07
30,wp.com,42,2024-09-08,2025-05-07
43,bats.org.uk,5,2023-12-08,2025-05-07
43,wildlondon.org.uk,2,2023-12-08,2025-05-07
44,automattic.com,11,2023-09-09,2025-05-07
53,arup.com,4,2023-12-08,2025-05-07
57,youtu.be,1,2023-09-09,2025-05-07
71,caltech.edu,2,2023-12-08,2025-05-07
75,ucl.ac.uk,16,2023-12-08,2025-05-07
76,wordpress.com,106,2018-11-05,2025-05-07
100,wikipedia.org,1,2025-03-12,2025-05-07
100,youtube.com,1,2023-09-09,2025-05-07
