Domain Name,DR,SZ Score,SPAM?,SEMRUSH,POTENTIAL,Indexed
60secondrecap.com,31,3,,1,,1
affirmativhealth.com,9,11,,,very medical,1
b-band.com,31,13,,1,,1
bbvaventures.com,-,X,,,,0
c4learn.com,31,7,,1,,1
catch-fitness.com,12,24,,,,0
gamedayr.net,-,X,,1,,1
houseforgoodies.com,8,23,,,,0
mentalstack.com,18,13,,,,0
onenationcoffee.com,30,24,,1,,1
originreel.com,51,20,,1,,1
projectlore.com,13,6,,,,0
ripmixmake.org,-,X,,1,,1
short-facts.com,-,X,,1,,1
sugerdefenderr.com,-,X,,1,,1
sweetstackshack.com,7,21,,,,0
the-tribulation-network.com,-,X,,,,0
,,,,,,
theseomarketingcompany.com,-,X,,,no  suspicious,1
thinkrelay.com,42,16,,,philantropy. Chatbots,1
urdogs.com,19,10,,,,0
