Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
63,ようこそ、我がブログへ,https://kyo9.blogspot.com/,http://accidentaltheologist.com/2014/08/25/who-said-it/,Who Said It?,283,171,false,false,false,true,false,false,false,true,2024-03-03,2025-04-23,false,false
63,ようこそ、我がブログへ,https://kyo9.blogspot.com/,http://accidentaltheologist.com/,The Accidental Theologist,283,171,false,false,false,true,false,false,false,true,2024-11-22,2025-04-23,false,false
59,Death Over Dinner,https://deathoverdinner.org/,http://www.accidentaltheologist.com/,www.AccidentalTheologist.com,121,126,false,false,false,true,false,false,false,false,2024-05-20,2025-05-08,false,false
52,Lesley Hazleton - Wikipedia,https://en.wikipedia.org/wiki/Lesley_Hazleton,http://accidentaltheologist.com/,"""The Accidental Theologist""",69,192,true,false,false,true,false,false,false,false,2024-05-21,2025-02-16,false,false
52,Lesley Hazleton - Wikipedia,https://en.wikipedia.org/wiki/Lesley_Hazleton,http://accidentaltheologist.com/about/,http://accidentaltheologist.com/about/,69,192,true,false,false,true,false,false,false,false,2024-09-21,2025-02-16,false,false
52,Lesley Hazleton - Wikipedia,https://en.wikipedia.org/wiki/Lesley_Hazleton,http://accidentaltheologist.com/about/,Who is the AT? The Accidental Theologist,69,192,true,false,false,true,false,false,false,false,2024-09-21,2025-02-16,false,false
33,"Lesley Hazleton, Writer Who Tackled Religion and Fast Cars, Dies at 78 - The New York Times",https://www.nytimes.com/2024/05/07/books/lesley-hazleton-dead.html,http://accidentaltheologist.com/,Accidental Theologist,11,98,false,false,false,true,false,false,false,false,2024-07-24,2025-05-01,false,false
29,ليزلي هازلتون - ويكيبيديا,https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D8%B2%D9%84%D9%8A_%D9%87%D8%A7%D8%B2%D9%84%D8%AA%D9%88%D9%86,http://accidentaltheologist.com/,الموقع الرسمي,107,279,true,false,false,true,false,false,false,false,2024-07-26,2025-02-24,false,false
29,ليزلي هازلتون - ويكيبيديا,https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D8%B2%D9%84%D9%8A_%D9%87%D8%A7%D8%B2%D9%84%D8%AA%D9%88%D9%86,http://accidentaltheologist.com/about/,ما معنى اللاأدرية؟-اللاهوت العرضي.,107,279,true,false,false,true,false,false,false,false,2024-07-26,2025-02-24,false,false
29,ليزلي هازلتون - ويكيبيديا,https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D8%B2%D9%84%D9%8A_%D9%87%D8%A7%D8%B2%D9%84%D8%AA%D9%88%D9%86,http://accidentaltheologist.com/about/,http://accidentaltheologist.com/about/,107,279,true,false,false,true,false,false,false,false,2024-07-26,2025-02-24,false,false
29,ليزلي هازلتون - ويكيبيديا,https://ar.wikipedia.org/wiki/%D9%84%D9%8A%D8%B2%D9%84%D9%8A_%D9%87%D8%A7%D8%B2%D9%84%D8%AA%D9%88%D9%86,http://accidentaltheologist.com/,الأصل,107,279,true,false,false,true,false,false,false,false,2024-07-26,2025-02-24,false,false
26,Lesley Hazleton - Vikipedi,https://tr.wikipedia.org/wiki/Lesley_Hazleton,http://accidentaltheologist.com/about/,Who is the AT? The Accidental Theologist,65,171,true,false,false,true,false,false,false,false,2024-07-05,2025-04-09,false,false
