Name,Source,TF,CF,"Majestic BL","Majestic RD","Majestic Topics","Majestic Languages","Site Languages","Ahrefs DR","Ahrefs UR","Ahrefs RD","Ahrefs BL","Ahrefs Traffic","Ahrefs Positions","Ahrefs Cost","Moz DA","Moz PA",Age,"SZ Redirects","SZ Parked","SZ Active History","SZ Score","SZ Drops","Google Index","SEM Traffic","SEM Rank","SEM Keywords","Out Links Internal","Out Links External","Out Domains External","Date Added",Price,Expires
fandrich.com,"GoDaddy Auctions",33,22,670,230,"Arts/Music: 33
Shopping/Music: 18","English: 95.6%
German: 1.2%
Hungarian: 1%
French: 0.7%
Dutch: 0.4%
Japanese: 0.3%
Portuguese: 0.3%
Danish: 0.1%
Thai: 0.1%","English: 100%",26,6,181,1254,0,1,0,24,31,27,3,0,27,2,,,0,24457284,2,19,1,0,05/20/2025,$435,"05/27/2025 19:56:00"
ecowaters.org,"Namecheap Auctions",32,20,192,81,"Science/Environment: 31
Home/Gardening: 28
Business/Construction and Maintenance: 23
Home/Home Improvement: 18","English: 81.7%
German: 16.8%
Chinese: 0.6%
Russian: 0.6%",,12,5,151,354,0,0,0,18,31,22,11,1,22,3,,,0,0,0,0,0,0,05/13/2025,$30,"05/27/2025 15:00:00"
waterburychamber.org,"GoDaddy Auctions",31,18,179,73,"Society/Organizations: 31
Business/Small Business: 18","English: 99.3%
Dutch: 0.6%",,21,0,124,330,0,0,0,25,20,27,62,0,25,3,,0,0,26599530,2,0,0,0,05/18/2025,$1,"05/27/2025 21:16:00"
innerned.org,"GoDaddy Auctions",40,32,3888,379,"Health/Alternative: 39
Society/Religion and Spirituality: 33
Society/Disabled: 21","Dutch: 94.5%
English: 5.1%
Russian: 0.1%",,35,9,819,18912,0,2,0,28,36,20,31,0,19,3,,0,0,0,0,0,0,0,05/19/2025,$205,"05/27/2025 20:34:00"
fallriverchamber.com,"GoDaddy Auctions",31,17,3803,48,"Business: 31
Business/Business Services: 19","English: 99.8%
German: 0.1%","Japanese: 100%",18,6,124,633,0,0,0,27,30,26,44,0,24,3,,1,0,35957710,1,0,3,3,05/19/2025,$1,"05/27/2025 20:54:00"
mossaffiliatemarketing.com,"GoDaddy Auctions",17,14,119,34,"Home/Family: 17","English: 100%",,10,0,83,395,0,0,0,12,35,15,15,0,15,3,,0,0,0,0,0,0,0,05/20/2025,$1,"05/27/2025 17:46:00"
godive.net,"GoDaddy Auctions",28,22,434,211,"Recreation/Outdoors: 28
Science/Social Sciences: 20
Business/Arts and Entertainment: 18","English: 84.1%
German: 3.7%
French: 3.2%
Polish: 2%
Bulgarian: 1.5%
Chinese: 1.2%
Greek: 1.2%
Danish: 0.7%
Portuguese: 0.5%
Russian: 0.5%",,23,1,624,4394,0,0,0,28,39,22,79,0,22,3,,0,0,0,0,1,0,0,05/20/2025,$1,"05/27/2025 21:20:00"
nacwc.org,"Namecheap Auctions",17,16,1023,470,"Recreation/Travel: 17
Science/Social Sciences: 16
Society/People: 16
Arts: 16
Society/Organizations: 15
Reference/Museums: 15
Arts/Classical Studies: 15
Reference/Education: 15
Arts/Literature: 15
Society/Politics: 15","English: 97.9%
Thai: 1.9%
Spanish: 0.1%","Thai: 76.4%
English: 23.5%",36,9,507,7006,0,1,0,37,35,21,370,0,20,4,,,0,28919446,1,2,0,0,05/17/2025,$1,"05/27/2025 15:00:00"
tkvision.com,"GoDaddy Auctions",29,15,172,157,"Computers/Software/Document Imaging: 29","English: 97.6%
Vietnamese: 1.1%
Chinese: 0.5%
Spanish: 0.5%",,5,0,96,129,0,0,0,17,28,23,0,0,23,4,,0,0,0,0,0,0,0,05/20/2025,$1,"05/27/2025 20:35:00"
chicagobrauhaus.com,"GoDaddy Auctions",21,20,406,115,"Recreation/Food: 20
Arts/Visual Arts: 18
Health/Alternative: 18
Recreation/Travel: 17
Society/People: 17
News/Magazines and E-zines: 15
Regional/North America: 15
Business/Automotive: 14","English: 99.7%
French: 0.2%",,23,8,276,1528,0,1,0,35,31,26,0,1,26,4,,,0,34560508,1,0,0,0,05/20/2025,$55,"05/27/2025 20:55:00"
chinesemedicinalherbfarm.com,"GoDaddy Auctions",16,13,276,34,"Society/People: 16","English: 100%","English: 100%",10,7,99,12274,0,0,0,24,29,17,25,0,17,5,,1,0,0,0,0,0,0,05/19/2025,$6,"05/27/2025 16:28:00"
growthallianceevv.com,"GoDaddy Auctions",20,18,487,81,"Business/Financial Services: 20
Society/Government: 15","English: 100%",,30,0,206,8733,0,0,0,30,29,12,54,0,12,5,,,0,0,0,0,1,1,05/20/2025,$1,"05/27/2025 20:07:00"
ex-primo.com,"GoDaddy Auctions",35,22,340,42,"Business: 35","Russian: 76.2%
English: 23.4%
Italian: 0.3%","English: 100%",6,7,123,850,0,0,0,27,30,19,66,0,18,5,,2,0,0,0,1,0,0,05/20/2025,$1,"05/27/2025 21:26:00"
carbs-information.com,"GoDaddy Auctions",21,26,1217,209,"Home/Cooking: 20
Computers/Internet/Searching: 19
Health/Weight Loss: 19
Health/Mental Health: 18
Shopping/Food: 14
Computers/Internet/On the Web: 14","English: 82.4%
Russian: 13.8%
Dutch: 1.2%
Arabic: 0.3%
Portuguese: 0.3%
Serbian: 0.3%
Danish: 0.2%
Norwegian: 0.2%
Indonesian: 0.1%",,21,1,508,3928,0,0,0,32,37,21,35,0,20,5,,,0,0,0,0,0,0,05/20/2025,$1,"05/27/2025 21:21:00"
rave-tech.com,"GoDaddy Auctions",15,16,244,29,"Computers/Internet/Searching: 14
Arts/Literature: 14
Reference/Education: 13
Science/Science in Society: 13
Science/Biology: 12
Arts/Online Writing: 12
Reference/Journals: 12
Society/Law: 12
Reference/Libraries: 12
Arts/Writers Resources: 12","English: 99.5%
Marathi: 0.4%",,16,4,141,433,0,0,0,26,28,26,38,0,26,5,,,0,0,0,0,0,0,05/20/2025,$200,"05/27/2025 19:33:00"
papercutzinelibrary.org,"Namecheap Auctions",20,20,515,196,"Arts/Music: 20
Reference: 17
Recreation/Radio: 16
Arts/Literature: 15
Computers/Internet/Searching: 15
Arts/Humanities: 15
News/Weblogs: 14
Arts/Weblogs: 14
Reference/Directories: 13
Society/Politics: 13","English: 97.3%
French: 0.8%
Russian: 0.8%
Spanish: 0.6%
Portuguese: 0.2%",,18,4,215,3096,0,0,0,34,26,17,66,0,16,6,,1,0,0,0,0,0,0,05/13/2025,$15,"05/27/2025 15:00:00"
chryslertcbymaseraticlub.com,"Namecheap Auctions",13,15,80,31,"Computers/Software/Operating Systems: 13
News/Journalism: 10
Recreation/Food: 9","English: 87.1%
French: 7.6%
Russian: 5.1%",,21,13,34,226,0,0,0,18,25,19,34,0,19,6,,1,0,0,0,0,0,0,05/13/2025,$15,"05/27/2025 15:00:00"
mcinerneylab.com,"GoDaddy Auctions",26,19,250,159,"Science/Biology: 26","English: 97.2%
Spanish: 1.8%
German: 0.4%
Portuguese: 0.4%","English: 100%",18,9,241,602,0,2,0,26,35,9,1,0,9,6,,5,0,0,0,0,2,1,05/19/2025,$1,"05/27/2025 20:43:00"
conbriorecordings.com,"GoDaddy Auctions",29,17,97,64,"Business/Arts and Entertainment: 29","English: 98.5%
Dutch: 1.4%",,17,4,107,3614,0,0,0,17,30,23,27,0,22,6,,,0,36843611,1,0,0,0,05/19/2025,$1,"05/27/2025 16:28:00"
cartelec.net,"GoDaddy Auctions",19,18,279,75,"Science/Social Sciences: 19
Science/Earth Sciences: 16
Society/Military: 15","French: 77.2%
English: 20.5%
German: 0.5%
Korean: 0.5%
Portuguese: 0.5%
Spanish: 0.5%",,6,0,131,1335,0,11,0,31,26,13,20,1,13,6,,35,0,0,0,0,0,0,05/19/2025,$1,"05/27/2025 18:14:00"
oakhaventableandbar.com,"GoDaddy Auctions",14,15,195,31,"Society/Government: 14
Recreation/Travel: 13
Health/Public Health and Safety: 11
Regional/North America: 10
Society: 8
Business/Hospitality: 8
Society/Politics: 8
Business: 8","English: 98.9%
German: 0.5%
Italian: 0.5%",,11,9,106,338,0,0,0,26,29,11,3,0,11,6,,0,0,0,0,0,0,0,05/20/2025,$1,"05/27/2025 17:08:00"
bigfatshotsauce.com,"GoDaddy Auctions",28,20,535,70,"Shopping/Food: 28","English: 99.7%
Swedish: 0.2%",,15,3,119,516,0,0,0,20,29,11,21,0,11,6,,0,0,0,0,0,0,0,05/20/2025,$1,"05/27/2025 16:39:00"
chhnh.org,"Namecheap Auctions",28,15,69,27,"Health: 28
Society: 18","English: 100%",,11,0,25,92,0,0,0,14,24,23,14,0,22,7,,1,0,0,0,0,0,0,05/13/2025,$15,"05/27/2025 15:00:00"
teridian.com,"Namecheap Auctions",21,20,289,97,"Business/Electronics and Electrical: 21
Computers/Programming/Languages: 16
Recreation: 15
Computers/Hardware: 14","English: 66.8%
Japanese: 8%
Slovak: 5.8%
Chinese: 5.3%
German: 4%
Russian: 3.1%
Czech: 2.2%
Polish: 2.2%
Korean: 1.3%
French: 0.8%",,16,0,167,677,0,0,0,30,27,20,40,0,16,7,,,0,0,0,0,0,0,05/13/2025,$17,"05/27/2025 15:00:00"
proballinc.com,"Namecheap Auctions",14,15,109,27,"Recreation/Pets: 14
Shopping/Publications: 12
Shopping/Pets: 12
Business: 11
Regional/North America: 11","English: 97.6%
Dutch: 1.1%
Chinese: 1.1%","English: 100%",6,7,31,94,0,0,0,17,24,25,28,1,25,7,,,0,0,0,35,5,4,05/13/2025,$15,"05/27/2025 15:00:00"
atlanticcoastalkayaker.com,"Namecheap Auctions",22,16,154,40,"Shopping/Sports: 22
Recreation/Boating: 16","English: 100%","English: 100%",5,12,45,630,0,0,0,17,28,17,2,1,17,7,,,0,0,0,0,0,0,05/13/2025,$15,"05/27/2025 15:00:00"
villagebakeryknoxville.com,"GoDaddy Auctions",16,17,60,25,"News/Magazines and E-zines: 16
News/Media Industry: 12
Business: 11","English: 100%","English: 100%",13,0,80,171,7,30,350,12,28,16,1,0,16,7,,0,171,2845622,125,6,1,1,05/20/2025,$30,"05/27/2025 17:28:00"
