Domain Name,Status,SZ Score,Spam message,Active History,Domain Age,Parked Pages,Redirects,Languages,Titles,Links,Archive,3xx Responses,2xx Responses,Min Words,Max Words,Min Hrefs,Max Hrefs,Ahrefs Domain Rating,Ahrefs URL Rating,Ahrefs Backlinks,Ahrefs Ref Domains,Ahrefs Ref Pages,Ahrefs Ref IPs, Ahrefs Ref Class C,Ahrefs Nofollow,Ahrefs Dofollow,Ahrefs Text,Ahrefs Image,Ahrefs Links External,Ahrefs .gov,Ahrefs .edu,Majestic Trust Flow,Majestic Citation Flow,Majestic External Backlinks,Majestic Ref Domains,Majestic Indexed URLs,Majestic Ref IPs,Majestic Ref Subnets,Majestic .gov,Majestic .edu,Majestic Redirect,Majestic Anchor Language,Majestic Topic 1,Majestic Topic 2,Majestic Topic 3,Lang History

sunshineingovernment.org,spam,–,ANCHORS : Badword [ slot] in (demo slot),19,19,0,65,en,Sunshine in Government Initiative,noted,http://web.archive.org/web/20060919084927if_/http://www.sunshineingovernment.org:80/,65,286,41,1788,50,115,35,15,2447,269,1516,280,239,161,2286,2447,109,54569,2,13,20,20,489,82,538,80,78,0,0,No,English German Italian Indonesian Japanese,Society/Politics,Society/Government,Shopping/Publications,2006: English
,,,,,,,,,The Sunshine in Government Initiative | Promoting transparency & accountability in government,slot demo,http://web.archive.org/web/20070321013833if_/http://www.sunshineingovernment.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007: English
,,,,,,,,,The Sunshine in Government Initiative – Promoting transparency & accountability in government,sunshine in government initiative,http://web.archive.org/web/20071109145229if_/http://www.sunshineingovernment.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008: English
,,,,,,,,,sunshineingovernment.org is expired,hundreds of other stories,http://web.archive.org/web/20080509194517if_/http://www.sunshineingovernment.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009: English
,,,,,,,,,WINSTAR138 - Daftar Slot Demo 2023,demo slot,http://web.archive.org/web/20081204011546if_/http://www.sunshineingovernment.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010: English
,,,,,,,,,Default Web Site Page,http://www.sunshineingovernment.org/,http://web.archive.org/web/20090618105617if_/http://www.sunshineingovernment.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011: English
,,,,,,,,,,sunshineingovernment.org,http://web.archive.org/web/20091219105348if_/http://www.sunshineingovernment.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012: English
,,,,,,,,,,foia files,http://web.archive.org/web/20100717022928if_/http://www.sunshineingovernment.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013: English
,,,,,,,,,,the sunshine in government initiative,http://web.archive.org/web/20110507122607if_/http://www.sunshineingovernment.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014: English
,,,,,,,,,,sunshine in government,http://web.archive.org/web/20110925133621if_/http://www.sunshineingovernment.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015: English
,,,,,,,,,,,http://web.archive.org/web/20120128010232if_/http://sunshineingovernment.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016: English
,,,,,,,,,,,http://web.archive.org/web/20120615214614if_/http://www.sunshineingovernment.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017: English
,,,,,,,,,,,http://web.archive.org/web/20121017024325if_/http://www.sunshineingovernment.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018: English
,,,,,,,,,,,http://web.archive.org/web/20130223080250if_/http://sunshineingovernment.org:80/?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023: English
,,,,,,,,,,,http://web.archive.org/web/20130627102025if_/http://sunshineingovernment.org:80/?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024: English
,,,,,,,,,,,http://web.archive.org/web/20131030121819if_/http://sunshineingovernment.org:80/?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,http://web.archive.org/web/20140316025605if_/http://sunshineingovernment.org:80/?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,http://web.archive.org/web/20150316003606if_/http://sunshineingovernment.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,http://web.archive.org/web/20150818222428if_/http://sunshineingovernment.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,http://web.archive.org/web/20160614061904if_/http://sunshineingovernment.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,http://web.archive.org/web/20170611100044if_/http://sunshineingovernment.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,http://web.archive.org/web/20180309145227if_/http://sunshineingovernment.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,http://web.archive.org/web/20180710162623if_/http://sunshineingovernment.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,http://web.archive.org/web/20230606011823if_/http://www.sunshineingovernment.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,http://web.archive.org/web/20240113112830if_/https://sunshineingovernment.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,http://web.archive.org/web/20241121130648if_/https://www.sunshineingovernment.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etowndegrees.com,clear,3,Clean,19,20,0,5,en,Elizabethtown College,school of continuing and professional studies,http://web.archive.org/web/20050829164827if_/http://www.etowndegrees.com:80/,5,257,240,1158,50,88,19,0,4682,223,4427,198,177,46,4634,4680,222,602,0,3932,22,18,220,86,46,62,60,0,2,No,English,Reference/Education,Science/Social Sciences,Society/Religion and Spirituality,2005: English
,,,,,,,,,Elizabethtown College - Adult Education in Central Pennsylvania,www.etowndegrees.com,http://web.archive.org/web/20060310120033if_/http://www.etowndegrees.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006: English
,,,,,,,,,Elizabethtown College: Adult Education in Central Pennsylvania,etowndegrees,http://web.archive.org/web/20060915230832if_/http://www.etowndegrees.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007: English
,,,,,,,,,Accelerated Degree Completion Programs offered in Central PA by Elizabethtown College,founders residence hall - elizabethtown college,http://web.archive.org/web/20070403052257if_/http://www.etowndegrees.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008: English
,,,,,,,,,SCPS -Home,elizabethtown college accelerated program,http://web.archive.org/web/20071003053510if_/http://www.etowndegrees.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010: English
,,,,,,,,,Elizabethtown College - Elizabethtown College,etowndegrees.com,http://web.archive.org/web/20080405170028if_/http://www.etowndegrees.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011: English
,,,,,,,,,,www.etowndegrees.com/,http://web.archive.org/web/20081006070121if_/http://www.etowndegrees.com:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012: English
,,,,,,,,,,elizabethtown college,http://web.archive.org/web/20100812011005if_/http://www.etowndegrees.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013: English
,,,,,,,,,,elizabethtown college school of continuing and professional studies,http://web.archive.org/web/20110201170401if_/http://etowndegrees.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014: English
,,,,,,,,,,,http://web.archive.org/web/20110710203436if_/http://www.etowndegrees.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015: English
