Name,Source,Reason,DA,AS,DR,UR,TF,CF,S RD,M RD,A RD,S BL,M BL,A BL,IP'S,SZ,Variance,Follow %,S (BL/RD),M (BL/RD),Age,Indexed,Drops,MT,English %,Expiry
broadfootpublishing.com,GoDaddy Auctions,Low Authority Score (AS<5).,28.00,4.00,16.00,0.00,31.00,18.00,131.00,35.00,108.00,542.00,420.00,2774.00,139.00,2.00,24.00,72.32%,4.137404580152672,12.0,25.00,0.0,0.0,Shopping/Publications: 31,nan%,2025-05-10
oiccam.com,GoDaddy Auctions,Low Authority Score (AS<5).,nan,4.00,36.00,1.00,34.00,23.00,296.00,83.00,283.00,6531.00,3712.00,25484.00,291.00,2.00,36.00,92.59%,22.06418918918919,44.72289156626506,23.00,0.0,0.0,"Computers/Software/Groupware: 34
Computers/Software/Operating Systems: 22
Computers/Programming/Languages: 21
News/Weather: 21",nan%,2025-05-10
allesfliegt.com,Namecheap Auctions,Low Authority Score (AS<5). Low English content (<50%).,15.00,2.00,4.00,1.00,28.00,15.00,84.00,25.00,21.00,157.00,74.00,62.00,84.00,2.00,13.00,62.42%,1.869047619047619,2.96,15.00,,,Shopping/Recreation: 28,nan%,2025-05-10
neonsound.com,GoDaddy Auctions,Low Authority Score (AS<5).,16.00,2.00,26.00,4.00,31.00,16.00,101.00,26.00,74.00,179.00,46.00,173.00,96.00,3.00,24.00,84.92%,1.7722772277227723,1.7692307692307692,23.00,0.0,0.0,Business/Arts and Entertainment: 31,nan%,2025-05-10
andysautowreckers.com,GoDaddy Auctions,Low Authority Score (AS<5).,18.00,2.00,11.00,3.00,21.00,15.00,75.00,25.00,59.00,315.00,108.00,251.00,94.00,3.00,16.00,88.89%,4.2,4.32,23.00,,0.0,"Business/Automotive: 21
Shopping/Vehicles: 17
Science/Environment: 17
Computers/Internet: 14",nan%,2025-05-10
desktopgadgets.com,GoDaddy Auctions,Low Authority Score (AS<5).,nan,4.00,6.00,8.00,25.00,17.00,87.00,28.00,78.00,811.00,282.00,856.00,94.00,3.00,6.00,95.93%,9.32183908045977,10.071428571428571,23.00,1.0,0.0,"Games/Video Games/Strategy: 24
Computers/Software/Operating Systems: 19
Computers/Software/Desktop Customization: 19",nan%,2025-05-10
acctop40.com,GoDaddy Auctions,Low Authority Score (AS<5).,nan,4.00,10.00,1.00,26.00,21.00,225.00,102.00,224.00,1099.00,373.00,1706.00,222.00,3.00,10.00,59.40%,4.884444444444444,3.656862745098039,27.00,0.0,0.0,"Arts/Music: 26
Reference/Education: 19
Recreation/Trains and Railroads: 17",nan%,2025-05-10
zircomp.com,Namecheap Auctions,Low Authority Score (AS<5).,14.00,4.00,8.00,0.00,23.00,15.00,106.00,38.00,37.00,256.00,154.00,106.00,111.00,3.00,10.00,55.47%,2.4150943396226414,4.052631578947368,15.00,,,"Science/Math: 22
Computers/Data Formats: 22
Business/Business Services: 18
Science/Biology: 15",nan%,2025-05-10
3design3.com,Namecheap Auctions,Low Authority Score (AS<5). Prohibited topics: adult.,15.00,2.00,22.00,29.00,24.00,24.00,101.00,61.00,63.00,2980.00,5877.00,7178.00,110.00,4.00,20.00,99.13%,29.504950495049506,96.34426229508196,14.00,5280.0,0.0,"Adult/Arts: 24
Society/Sexuality: 15",nan%,2025-05-10
znobia.com,GoDaddy Auctions,Low Authority Score (AS<5). Low English content (<50%).,nan,4.00,4.00,6.00,14.00,16.00,379.00,68.00,133.00,1094.00,367.00,750.00,308.00,4.00,4.00,92.32%,2.886543535620053,5.397058823529412,18.00,0.0,1.0,"Computers/Internet: 14
Computers/Internet/Searching: 14
Society/Issues: 13
Business: 13
Computers/Internet/Web Design and Development: 13
Society/Organizations: 12
Business/Real Estate: 11
Home/Family: 11
Science/Social Sciences: 11
Health/Senior Health: 11",nan%,2025-05-10
listaplane.com,GoDaddy Auctions,Low Authority Score (AS<5). Too many drops (>2).,nan,4.00,3.00,0.00,31.00,16.00,163.00,37.00,147.00,307.00,112.00,287.00,113.00,4.00,4.00,77.52%,1.883435582822086,3.027027027027027,24.00,0.0,3.0,"Shopping/Classifieds: 31
Recreation/Aviation: 22",nan%,2025-05-10
ginasticas.com,GoDaddy Auctions,Low Authority Score (AS<5).,nan,2.00,8.00,0.00,21.00,19.00,127.00,44.00,142.00,701.00,120.00,1497.00,126.00,4.00,8.00,43.08%,5.519685039370079,2.727272727272727,21.00,0.0,0.0,"Sports/Soccer: 21
Recreation/Travel: 19
Society/Law: 17
Arts/Performing Arts: 17
Regional/South America: 16
Business/Business Services: 15
Regional/Europe: 14
Arts/Literature: 14",nan%,2025-05-10
csbmorland.com,Namecheap Auctions,Low Authority Score (AS<5). Low English content (<50%).,15.00,2.00,0.00,17.00,28.00,14.00,100.00,32.00,37.00,355.00,580.00,170.00,107.00,4.00,15.00,65.35%,3.55,18.125,22.00,,,Regional/North America: 28,nan%,2025-05-10
martinimosaic.com,Namecheap Auctions,Low Authority Score (AS<5). Too many drops (>2).,5.00,2.00,7.00,0.00,12.00,11.00,70.00,32.00,132.00,121.00,97.00,190.00,55.00,5.00,5.00,96.69%,1.7285714285714286,3.03125,13.00,1.0,4.0,"Business/Real Estate: 11
Business/Construction and Maintenance: 11
Home/Family: 11
Society/Religion and Spirituality: 11
Recreation/Travel: 11
Health/Senior Health: 11
Science/Environment: 11
Games/Video Games/Roleplaying: 11
Society: 9
Society/People: 9",nan%,2025-05-10
robertjohnphotography.com,Namecheap Auctions,Low Authority Score (AS<5).,19.00,4.00,2.00,9.00,20.00,17.00,402.00,34.00,71.00,1944.00,842.00,634.00,453.00,5.00,17.00,79.97%,4.835820895522388,24.764705882352942,19.00,,1.0,"Arts/Music: 20
Arts/People: 19",nan%,2025-05-10
gazbming.com,GoDaddy Auctions,Low Authority Score (AS<5).,55.00,4.00,28.00,19.00,14.00,21.00,202.00,74.00,250.00,871.00,153.00,719.00,229.00,5.00,51.00,94.72%,4.311881188118812,2.0675675675675675,17.00,0.0,0.0,"Recreation/Travel: 14
Regional/Europe: 11
Business/Arts and Entertainment: 11
Business/Marketing and Advertising: 11
Business: 11
Society/People: 11
Business/Energy: 11
Games/Video Games/Browser Based: 11",nan%,2025-05-10
farndon.com,GoDaddy Auctions,Low Authority Score (AS<5).,18.00,2.00,4.00,4.00,31.00,15.00,110.00,34.00,86.00,243.00,120.00,259.00,114.00,5.00,16.00,76.13%,2.209090909090909,3.5294117647058822,26.00,1.0,0.0,"Business/Automotive: 31
Recreation/Autos: 21",nan%,2025-05-10
