Name,Source,Reason,DA,AS,DR,UR,TF,CF,S RD,M RD,A RD,S BL,M BL,A BL,IP'S,SZ,Variance,Follow %,S (BL/RD),M (BL/RD),Age,Indexed,Drops,MT,English %,Expiry
aesthetetea.com,GoDaddy Auctions,Prohibited topics: gambling.,31.00,23.00,36.00,9.00,15.00,21.00,345.00,122.00,230.00,776.00,301.00,1595.00,246.00,21.00,13.00,76.83%,2.2492753623188406,2.4672131147540983,7.00,,,"Recreation/Food: 15
Business: 15
Health/Mental Health: 14
Games/Gambling: 12
Computers/Security: 12
Recreation/Travel: 11",nan%,2025-05-16
menyou.com,GoDaddy Auctions,Low English content (<50%). Prohibited topics: adult.,24.00,6.00,2.00,1.00,9.00,19.00,136.00,59.00,103.00,307.00,813.00,352.00,151.00,nan,22.00,82.08%,2.2573529411764706,13.779661016949152,23.00,,,"Regional/Europe: 8
Home/Family: 8
Business/Energy: 8
Recreation/Travel: 8
Business: 6
Adult/Regional: 6
Society/Organizations: 6
Adult/World: 6
Adult/Shopping: 6
Business/Real Estate: 2",nan%,2025-05-16
thenewstand.com,GoDaddy Auctions,Prohibited topics: adult.,32.00,5.00,26.00,7.00,8.00,17.00,145.00,58.00,109.00,469.00,62.00,298.00,162.00,20.00,27.00,40.30%,3.2344827586206897,1.0689655172413792,25.00,,,"Home/Family: 8
Recreation/Travel: 8
Adult/Regional: 6
Regional/Europe: 6
Business/Energy: 6
Adult/World: 6
Adult/Shopping: 6
Society/Organizations: 3
Business: 3
Business/Real Estate: 2",nan%,2025-05-16
catchphotorelease.com,GoDaddy Auctions,Low Authority Score (AS<5).,20.00,3.00,29.00,4.00,32.00,20.00,263.00,74.00,206.00,3060.00,200.00,6187.00,355.00,4.00,26.00,79.38%,11.634980988593156,2.7027027027027026,23.00,1.0,0.0,Recreation/Outdoors: 32,nan%,2025-05-16
lightingwestervilleohio.com,GoDaddy Auctions,Prohibited topics: adult.,21.00,8.00,6.00,2.00,8.00,17.00,141.00,68.00,120.00,396.00,201.00,476.00,143.00,nan,15.00,29.55%,2.8085106382978724,2.9558823529411766,11.00,,,"Home/Family: 8
Recreation/Travel: 8
Regional/Europe: 6
Adult/Regional: 6
Business/Energy: 6
Adult/World: 5
Adult/Shopping: 4
Society/Organizations: 3
Business: 3
Business/Real Estate: 1",nan%,2025-05-16
mybettingdeals.com,Namecheap Auctions,Low Authority Score (AS<5). Prohibited topics: adult.,22.00,nan,26.00,17.00,11.00,21.00,nan,146.00,539.00,nan,687.00,2046.00,nan,nan,26.00,0.00%,0.0,4.705479452054795,6.00,3.0,0.0,"Recreation/Autos: 9
Regional/Europe: 9
Business/Energy: 9
Home/Family: 9
Recreation/Travel: 9
Business: 8
Society/Organizations: 8
Adult/Regional: 8
Arts/Music: 8
Adult/World: 6",nan%,2025-05-16
honestloans.com,GoDaddy Auctions,Low Authority Score (AS<5).,21.00,4.00,nan,nan,14.00,28.00,178.00,60.00,nan,732.00,137.00,nan,179.00,nan,21.00,94.54%,4.112359550561798,2.283333333333333,nan,189.0,0.0,Sports/Darts: 14,nan%,2025-05-16
spikevare.com,Namecheap Auctions,Low Authority Score (AS<5).,22.00,4.00,14.00,0.00,17.00,18.00,181.00,85.00,154.00,1100.00,444.00,845.00,213.00,16.00,18.00,44.67%,6.077348066298343,5.223529411764706,7.00,101.0,0.0,"Sports/Equestrian: 16
Sports/Soccer: 16
Sports/Running: 15
Sports/Organizations: 15
Sports: 14
Sports/Martial Arts: 14
Recreation/Pets: 13",nan%,2025-05-16
rosehillmansion.com,GoDaddy Auctions,Low Authority Score (AS<5).,29.00,4.00,16.00,6.00,22.00,20.00,179.00,170.00,193.00,1740.00,337.00,1697.00,195.00,nan,25.00,27.46%,9.720670391061452,1.9823529411764707,20.00,0.0,0.0,"Recreation/Birding: 22
Recreation/Travel: 18
Science/Biology: 16",nan%,2025-05-16
lendabit.com,GoDaddy Auctions,Low Authority Score (AS<5). Prohibited topics: adult.,20.00,4.00,nan,nan,11.00,22.00,273.00,116.00,nan,1206.00,503.00,nan,237.00,nan,20.00,67.55%,4.417582417582418,4.336206896551724,nan,0.0,1.0,"Science/Social Sciences: 11
Recreation/Travel: 9
Home/Family: 9
Regional/Europe: 6
Adult/Regional: 6
Business/Energy: 6
Adult/World: 4
Adult/Shopping: 4
Business: 1
Society/Organizations: 1",nan%,2025-05-16
eu9thno1.com,GoDaddy Auctions,Low Authority Score (AS<5).,6.00,4.00,6.00,2.00,13.00,28.00,254.00,54.00,68.00,1952.00,330.00,139.00,224.00,nan,2.00,84.65%,7.68503937007874,6.111111111111111,1.00,38.0,0.0,"Arts/Visual Arts: 13
Arts/Performing Arts: 11",nan%,2025-05-16
