Name,Source,Potentially spam,DA,AS,DR,UR,TF,CF,S RD,M RD,A RD,S BL,M BL,A BL,IP'S,SZ,Variance,Follow %,S (BL/RD),M (BL/RD),Age,Indexed,Drops,MT,English %,Expiry,Reason
therodeonews.com,GoDaddy Auctions,,27.00,4.00,11.00,9.00,16.00,15.00,86.00,25.00,69.00,197.00,281.00,569.00,95.00,nan,23.00,90.86%,2.2906976744186047,11.24,20.00,0.0,,Business: 16,nan%,2025-05-01,Low Authority Score (AS<5).
lancog.com,GoDaddy Auctions,,23.00,4.00,9.00,0.00,18.00,16.00,117.00,144.00,117.00,206.00,173.00,1662.00,118.00,11.00,19.00,78.64%,1.7606837606837606,1.2013888888888888,13.00,0.0,,Science/Math: 18,nan%,2025-05-01,Low Authority Score (AS<5).
dwighticenhowerfanclub.com,GoDaddy Auctions,High variance between metrics (41.0).,13.00,3.00,44.00,15.00,15.00,13.00,118.00,29.00,143.00,377.00,58.00,572.00,131.00,nan,41.00,43.66%,3.194915254237288,2.0,18.00,0.0,,Society/People: 15,nan%,2025-05-01,Low Authority Score (AS<5).
stphilipinthefield.org,GoDaddy Auctions,,19.00,4.00,5.00,3.00,19.00,18.00,98.00,54.00,85.00,181.00,81.00,178.00,95.00,9.00,15.00,80.11%,1.846938775510204,1.5,17.00,1.0,,"Society/Religion and Spirituality: 19
Computers/Software/Industry-Specific: 14
Arts/Music: 14
Computers/Software/Operating Systems: 13",nan%,2025-05-01,Low Authority Score (AS<5).
teagosa.com,GoDaddy Auctions,Questionable Majestic topics: adult.,12.00,3.00,7.00,0.00,8.00,17.00,81.00,42.00,37.00,91.00,46.00,44.00,79.00,nan,9.00,89.01%,1.123456790123457,1.0952380952380953,6.00,,,"Regional/Europe: 8
Business/Energy: 8
Recreation/Travel: 8
Home/Family: 8
Business: 8
Society/Organizations: 7
Adult/Regional: 7
Adult/World: 7
Adult/Shopping: 7
Games/Video Games/Roleplaying: 4",nan%,2025-05-01,Low Authority Score (AS<5). Prohibited topics: adult.
sltransportservices.com,GoDaddy Auctions,,2.00,2.00,0.00,0.00,10.00,13.00,60.00,29.00,35.00,79.00,80.00,39.00,40.00,nan,2.00,45.57%,1.3166666666666667,2.7586206896551726,1.00,0.0,,"Health/Mental Health: 9
Business/Textiles and Nonwovens: 8
Society/Religion and Spirituality: 7",nan%,2025-05-01,Low Authority Score (AS<5).
kmschwartz.com,GoDaddy Auctions,,11.00,2.00,0.00,0.00,11.00,14.00,108.00,42.00,24.00,244.00,121.00,127.00,82.00,nan,11.00,57.38%,2.259259259259259,2.880952380952381,21.00,0.0,,"Business/Real Estate: 11
Home/Family: 11
Recreation/Travel: 9
Health/Senior Health: 9
Games/Video Games/Roleplaying: 9
Society: 8
Society/People: 8
Society/Religion and Spirituality: 8
Computers/Internet: 8
Science/Environment: 8",nan%,2025-05-01,Low Authority Score (AS<5).
tyhan.net,GoDaddy Auctions,,15.00,2.00,4.00,0.00,22.00,17.00,89.00,36.00,68.00,139.00,76.00,109.00,82.00,nan,13.00,71.94%,1.5617977528089888,2.111111111111111,19.00,0.0,,"Reference/Maps: 22
Regional/Asia: 16
Business/Food and Related Products: 16
Science/Social Sciences: 14",nan%,2025-05-01,Low Authority Score (AS<5).
civilinframeet.org,GoDaddy Auctions,,14.00,4.00,24.00,15.00,18.00,15.00,154.00,38.00,96.00,28322.00,2317.00,1310.00,141.00,nan,20.00,99.83%,183.9090909090909,60.973684210526315,1.00,7.0,,"Computers/Software/Databases: 18
Computers/Artificial Intelligence: 17
Computers/Computer Science: 14",nan%,2025-05-01,Low Authority Score (AS<5).
studentstravelagency.com,GoDaddy Auctions,,5.00,2.00,0.00,4.00,5.00,12.00,97.00,33.00,38.00,233.00,76.00,57.00,63.00,nan,5.00,17.17%,2.402061855670103,2.303030303030303,3.00,5.0,,Society/Religion and Spirituality: 5,nan%,2025-05-01,Low Authority Score (AS<5).
