Name,Source,Potentially spam,DA,AS,DR,UR,TF,CF,S RD,M RD,A RD,S BL,M BL,A BL,IP'S,SZ,Variance,Follow %,S (BL/RD),M (BL/RD),Age,Indexed,Drops,MT,English %,Expiry,Everything backlinks,Everything domains,Quality backlinks,Quality domains
itrunsinmyfamily.com,GoDaddy Auctions,,22.00,nan,35.00,12.00,14.00,19.00,nan,70.00,132.00,nan,150.00,2517.00,nan,5.00,35.00,0.00%,0.0,2.142857142857143,17.00,0.0,,"Health/Conditions and Diseases: 14
Society/Law: 13
Health/Medicine: 12
Society/Religion and Spirituality: 11",nan%,2025-05-07,9709,157,1881,28
frostlab.org,GoDaddy Auctions,,16.00,nan,10.00,9.00,22.00,20.00,nan,57.00,150.00,nan,90.00,484.00,nan,10.00,16.00,0.00%,0.0,1.5789473684210527,10.00,5.0,,"Science/Chemistry: 21
Computers/Computer Science/Computer Graphics: 21",nan%,2025-05-07,344,145,193,24
letzdesign.com,GoDaddy Auctions,,14.00,nan,16.00,9.00,13.00,20.00,nan,110.00,432.00,nan,253.00,3776.00,nan,10.00,16.00,0.00%,0.0,2.3,21.00,1.0,,"Business/Agriculture and Forestry: 13
Home/Gardening: 12",nan%,2025-05-09,10000,338,274,8
modularhomeplace.com,GoDaddy Auctions,,19.00,nan,5.00,9.00,11.00,13.00,nan,32.00,126.00,nan,94.00,758.00,nan,14.00,19.00,0.00%,0.0,2.9375,20.00,674.0,,Business: 11,nan%,2025-05-07,309,138,5,4
righttorecovery.org,GoDaddy Auctions,,16.00,nan,9.00,0.00,14.00,18.00,nan,54.00,83.00,nan,78.00,172.00,nan,16.00,16.00,0.00%,0.0,1.4444444444444444,5.00,2.0,,"Recreation/Travel: 14
Society/Issues: 14
Regional/Europe: 11",nan%,2025-05-09,126,102,36,17
requitedjournal.com,GoDaddy Auctions,,20.00,nan,19.00,7.00,19.00,24.00,nan,94.00,164.00,nan,8614.00,14410.00,nan,nan,20.00,0.00%,0.0,91.63829787234043,15.00,10.0,,"Arts/Literature: 19
Arts/Music: 16
Business/Publishing and Printing: 15
Society/People: 14
News/Magazines and E-zines: 13
Arts/Writers Resources: 13",nan%,2025-05-07,7772,208,7413,36
plantbelly.com,GoDaddy Auctions,,19.00,nan,nan,nan,11.00,19.00,nan,46.00,nan,nan,137.00,nan,nan,nan,19.00,0.00%,0.0,2.9782608695652173,nan,,,"Home/Cooking: 11
Science/Technology: 11
Reference/Education: 11
Shopping/Food: 11",nan%,2025-05-08,530,204,88,29
oppforyouth.org,GoDaddy Auctions,,12.00,nan,nan,nan,20.00,19.00,nan,70.00,nan,nan,102.00,nan,nan,nan,12.00,0.00%,0.0,1.457142857142857,nan,0.0,,"Society/Philanthropy: 19
Arts/Architecture: 19
Society: 17
Society/Issues: 15
Science/Environment: 15
Arts/Movies: 15",nan%,2025-05-07,330,143,37,20
hubdesignsmagazine.com,GoDaddy Auctions,,34.00,nan,26.00,2.00,11.00,18.00,nan,38.00,83.00,nan,97.00,1106.00,nan,nan,34.00,0.00%,0.0,2.5526315789473686,14.00,1.0,,"Business/Publishing and Printing: 11
Computers/Internet/Web Design and Development: 8
Games/Video Games/Adventure: 8
Computers/Internet/On the Web: 8
Shopping/Antiques and Collectibles: 8
Regional/Europe: 8
Computers/Internet: 7",nan%,2025-05-09,213,101,27,15
altconservative.com,GoDaddy Auctions,,3.00,nan,nan,nan,7.00,16.00,nan,177.00,nan,nan,316.00,nan,nan,nan,3.00,0.00%,0.0,1.7853107344632768,nan,249.0,,"Society/Religion and Spirituality: 7
Business/Industrial Goods and Services: 1",nan%,2025-05-09,1025,241,3,1
