Name,Source,DA,AS,DR,UR,TF,CF,S RD,M RD,A RD,S BL,M BL,A BL,IP'S,SZ,Variance,Follow %,S (BL/RD),M (BL/RD),Age,Indexed,Drops,MT,English %,Expirary,Everything backlinks,Everything domains,Quality backlinks,Quality domains,Price
visualizeyourlearning.com,nan,20,13,13,3,15,10,90,25,56,179,60,103,87,13,7,0.910614525,1.988888889,2.4,8,60,0,nan,nan,27/04/2025,nan,nan,nan,nan,205
converticulture.com,nan,15,5,6,20,15,17,91,55,48,400,212,100,111,17,10,0.228287841,4.395604396,3.854545455,8,1,0,nan,nan,27/04/2025,nan,nan,nan,nan,1
socialwod.com,nan,19,5,24,11,18,21,103,52,67,359,345,340,92,5,19,0.727272727,3.485436893,6.634615385,14,1,0,nan,nan,27/04/2025,nan,nan,nan,nan,1
learningdevelopmentconference.com,nan,10,5,nan,nan,11,14,100,39,nan,222,57,nan,101,nan,10,0.878378378,2.22,1.461538462,nan,79,0,nan,nan,29/04/2025,nan,nan,nan,nan,150
mybloggingthing.com,nan,14,5,40,nan,10,16,158,82,155,249,207,539,166,13,35,0.763052209,1.575949367,2.524390244,11,1,0,nan,nan,29/04/2025,nan,nan,nan,nan,255
positiveinvest.org,nan,18,5,16,5,10,16,85,53,92,123,86,476,89,15,13,0.74796748,1.447058824,1.622641509,12,1,1,nan,nan,29/04/2025,nan,nan,nan,nan,255
wrc-gh.org,nan,25,20,35,13,10,26,286,218,225,1964,639,948,328,19,15,0.396752917,6.867132867,2.931192661,18,2180,0,nan,nan,29/04/2025,nan,nan,nan,nan,355
forthebenefitofallbeings.com,nan,21,9,17,3,10,15,98,32,93,269,4365,4835,114,13,12,0.605363985,2.744897959,136.40625,18,33,0,nan,nan,29/04/2025,nan,nan,nan,nan,260
saveourfaves.org,nan,36,6,54,14,15,22,317,168,333,808,804,4629,296,12,48,0.631647211,2.548895899,4.785714286,5,0,0,nan,nan,29/04/2025,nan,nan,nan,nan,1050
dawave.com,nan,19,9,12,2,20,15,149,48,77,366,100,296,134,7,10,0.452316076,2.456375839,2.083333333,27,1,0,nan,nan,30/04/2025,nan,nan,nan,nan,880
bodieontheroad.com,nan,32,20,29,nan,16,19,519,200,607,1616,365,1162,504,8,12,0.814585909,3.113680154,1.825,11,132,0,nan,nan,30/04/2025,nan,nan,nan,nan,155
mysmallwall.com,nan,nan,14,6,12,18,18,129,41,93,6344,115,566,158,9,14,0.989121867,49.17829457,2.804878049,15,0,0,nan,nan,30/04/2025,nan,nan,nan,nan,2080
profilecritics.com,nan,nan,16,14,8,25,29,181,542,nan,595,763,nan,196,10,16,0.529411765,3.287292818,1.407749077,6,0,0,nan,nan,30/04/2025,nan,nan,nan,nan,898
handcraftingwithlove.net,nan,nan,16,nan,nan,24,21,304,143,nan,1309,2261,nan,281,nan,16,0.658054711,4.305921053,15.81118881,nan,0,0,nan,nan,30/04/2025,nan,nan,nan,nan,205
