Domain Name,Flagged,Message,Spam,Potential Spam,Ahrefs DR,SZ Score,Indexed,SEMRUSH,Potential
vibedeck.com,,clean,0,,44,5,1,,ghetto funk music shop - acnhor
historicdowntownstuart.com,,clean,0,,32,6,1,1,
directcommercemagazine.com, work from home,snapshot < text : badword  in (19 2020 financial considerations: covid-19 read more mar 18 2020 companies failing to equip staff to work from home read more see all news latest articles mar 18 2020 bracing for coronavirus' impact o),0,,36,–,1,,backlinks
theveghub.com,,clean,0,,20,8,1,,
carbonandmore.com,,clean,0,,25,11,1,,
walking-trails.net,,clean,0,,8,12,1,1,
inpraiseofleftovers.com,,processing error.,0,processing error.,,–,0,,
sprintenduro.com,553 | 18110,\significant increase in content (sprintenduro.com-2021-09-25  -> sprintenduro.com-2022-05-23 )\,0,,22,21,1,1,
namastenourished.com,479 | 7914,\significant increase in content (namastenourished.com-2022-01-29  -> namastenourished.com-2022-06-19 )\,0,,25,25,1,1,checking outbounds
bonavita.co, buy now,snapshot < text : badword  in (start from $100ex vat per month use immediately yours after the final installmentlease to own now or buy now for $1988 lease to own now from $100 orbuy now for $1988 buy or lease with peace of mind ),0,snapshot < text : badword [ buy now] in (start from $100ex vat per month use immediately yours after the final installmentlease to own now or buy now for $1988 lease to own now from $100 orbuy now for $1988 buy or lease with peace of mind ),30,–,0,,
behaviouraldesignlab.org,casino,snapshot < text : badword  in ( 2023 mei 2023 april 2023 maret 2023 september 2022 agustus 2022 sponsored cekbola copyright © slot casino online all rights reserved. a note to our visitors this website has updated its privacy poli),1,,20,–,1,,
itcrunchy.com,,insufficient archive.org history available,0,insufficient archive.org history available,50,–,1,1,
entercools.com,,insufficient archive.org history available,0,insufficient archive.org history available,40,–,1,1,
ijmm.org,,domain incomplete please refresh,0,,60,–,1,1,
mygaragestory.net,debt consolidation,snapshot < text : badword  in (store for incredible bmw vehicles! august 30 2018   the steps involved in the process of acquiring debt consolidation with regard to dues on vehicles august 12 2018   mygaragestory.net is a particip),1,,12,–,1,,
carefullynews.com,,insufficient archive.org history available,0,insufficient archive.org history available,53,–,0,,
network-admin.net,jimmy moore has branched out once again to,snapshot < text : badword  in (ource - livin’ la vida low carb podcast by kent a @ 5:29 pm. filed under weight loss my good friend jimmy moore has branched out once again to inspire low carbers everywhere. already inspiring people ),0,,14,–,1,1,
fightforschools.com,,clean,0,,34,12,1,1,
campacampaign.com,pharma,snapshot < text : badword  in (ay” rule on members who fail to pass a budget on time. learn more healthcare ammar will take on big pharma hold corrupt executives accountable and make sure everyone has access to health care covera),0,,30,–,0,,
popagriculture.com,,archive.org snapshots with status 403 during latest year,1,,20,–,1,,
system-log.com,replica | ...,snapshot < text : badword  in (ought (only $14.95) and downloaded from cloanto! for the full retro feeling you can also pick up a replica of the  read full post 2 comments happy new year! a small contribution from a regular r),0,,7,–,0,,
wemustcount.org,,archive.org snapshots with status 403 during latest year,1,,24,–,0,,
