Domain Name,Flagged,Message,Spam,Potential Spam,Ahrefs DR,Ahrefs BL,Ahrefs RD,Ahrefs Ref IPs,SZ Score,Indexed
zerozerosf.com,,clean,0,,37.0,2746.0,452.0,414.0,4,0
safetyperformance.com,,clean,0,,20.0,1703.0,246.0,185.0,4,0
clearsoundinc.com,,clean,0,,10.0,617.0,213.0,172.0,5,1
homegrownfest.com, buy now,snapshot < text : badword  in (le! the full line up and time slots are out and available below!  tickets are only $20 in advance so buy now!   full line up announced including sarah jaffe!more next round of bands released.more home),1,,32.0,1470.0,216.0,230.0,–,0
puresoluble.com, buy now,snapshot < text : badword  in (/ $0.00 no products in the cart. cart no products in the cart. cytoskeletal proteins by pursolutions buy now   copyright 2018 © pursolutions 111 10th ave s suite 110 | nashville tn 37203 allactinbuf),0,snapshot < text : badword [ buy now] in (/ $0.00 no products in the cart. cart no products in the cart. cytoskeletal proteins by pursolutions buy now   copyright 2018 © pursolutions 111 10th ave s suite 110 | nashville tn 37203 allactinbuf),11.0,498.0,231.0,216.0,–,1
creatorspad.com,,clean,0,,20.0,409.0,105.0,102.0,12,1
theminutetour.com, buy now | Low DR,snapshot < text : badword  in (arket.com woops we can't find that domain name. how about searching for one instead? domain for sale buy now what are the advantages of a super premium .com domain? increased traffic premium names oft),1,snapshot < text : badword [ buy now] in (arket.com woops we can't find that domain name. how about searching for one instead? domain for sale buy now what are the advantages of a super premium .com domain? increased traffic premium names oft),4.0,106.0,58.0,66.0,–,1
asicboost.com,,\many redirects: domain `asicboost.com` has a high percentage of redirects (301:44% 3026%)\,0,,32.0,679.0,240.0,263.0,27,0
solarsystemquick.com,,clean,0,,31.0,2658.0,747.0,652.0,4,0
hearthmind.com,casino,snapshot < text : badword  in (slot gacor microgaming situs slot terpercaya satu-satunya menghadirkan game judi online berupa live casino dan gg hoki hoki slot online dalam satu tampilan. kemudahan ini sangat berguna sekali bagi an),1,,10.0,56281.0,130.0,119.0,–,0
dexinsight.com,,clean,0,,15.0,536.0,126.0,156.0,21,1
sweatguru.com,384 | 2233,\significant increase in content (sweatguru.com-2017-02-13  -> sweatguru.com-2023-09-26 )\,0,,26.0,535.0,190.0,205.0,22,0
relizen.com, buy now,snapshot < text : badword  in (end emailresend verification email   for patients >>   for healthcare professionals >> click here to buy now sign in to relizen create a relizen account forgot my password expired/invalid password rec),0,snapshot < text : badword [ buy now] in (end emailresend verification email   for patients >>   for healthcare professionals >> click here to buy now sign in to relizen create a relizen account forgot my password expired/invalid password rec),26.0,195.0,107.0,111.0,–,1
theleveragedphd.com,,clean,0,,41.0,328039.0,537.0,454.0,15,0
trendsinfoo.com,1122 | 2803,\significant increase in content (trendsinfoo.com-2021-02-16  -> trendsinfoo.com-2021-09-01 )\,0,,17.0,20850.0,11550.0,533.0,29,1
thedailyguardians.com,,insufficient archive.org history available,0,insufficient archive.org history available,19.0,1225.0,148.0,115.0,–,1
debateable.org,sex,snapshot < text : badword  in (european cup: aston villa beats bayern munich 1-0 at rotterdam 1989 - danish parliament allows same-sex marriage more historical events » share this page main menu debate topics debate styles and intr),1,,6.0,395.0,82.0,106.0,–,1
healthyprotocols.com,viagra,snapshot < text : badword  in (kills soybeans spices sugar sunshine supplements sweeten threats tooth transfat treat vaccine veges viagra vitamin walk   contact   pandemic update web site initial statement “when it comes to health),1,,10.0,4772.0,392.0,315.0,–,0
kindrace.com,poker,snapshot < text : badword  in (untungkan bagi semua member agen slot mesin terpercaya. selain slot online resmi ada taruhan bola poker online dan live casino. pemain dapat menikmati memilih game sesuai dengan preferensi dan kete),1,,29.0,1516456.0,1168.0,1226.0,–,0
airtract.com,19 buy now,snapshot < text : badword  in (00 (2) absolutely free enrol now 3 hrs 51.24 mins leed bd+c online course 5.00 (1) 80.81 % off $99 $19 buy now 1 hrs 12.44 mins security management for cannabis facilities 4.00 (1) 95.25 % off $400 $1),0,snapshot < text : badword [19 buy now] in (00 (2) absolutely free enrol now 3 hrs 51.24 mins leed bd+c online course 5.00 (1) 80.81 % off $99 $19 buy now 1 hrs 12.44 mins security management for cannabis facilities 4.00 (1) 95.25 % off $400 $1),50.0,29982.0,1372.0,885.0,–,0
mygoldrushtales.com,sex,snapshot < text : badword  in (dburner recent comments agen depobola indonesia on steamship service to gold rush california begins sex on the vigilantes banish their last man peter stines on steamship service to gold rush californi),1,,14.0,1215.0,232.0,216.0,–,1
bradgym.com,casino,snapshot < text : badword  in (bradgym.com - skip to content bradgym.com menu menu рокс казино (rox casino) ⚡ официальный сайт играть онлайн: вход зеркало 2 september 20242 september 2024 by shortpub),1,,11.0,559.0,158.0,155.0,–,1
bsolid.org,,insufficient archive.org history available,0,insufficient archive.org history available,11.0,148.0,66.0,70.0,–,0
