Domain Name,Flagged,Message,Spam,Potential Spam,Ahrefs DR,Ahrefs BL,Ahrefs RD,Ahrefs Ref IPs,SZ Score,Indexed,SEMRUSH,potential
easydestination.net,insurance,snapshot < text : badword  in ( india adventure tourism videos extra   book online now book hotel budget hostels city tours travel insurance hot destinations    festival fantazie    whale festival   malabar mahotsavam   top videos ),0,,9,2321,480,347,–,0,,
friscofried.biz, buy now,snapshot < text : badword  in (u sign up for our newsletter! email sign up social find us in doordash  dashpass• soul food seafood buy now powered by renaissance center copyright © 2021 frisco fried - all rights reserved. privacy ),0,snapshot < text : badword [ buy now] in (u sign up for our newsletter! email sign up social find us in doordash  dashpass• soul food seafood buy now powered by renaissance center copyright © 2021 frisco fried - all rights reserved. privacy ),21,521,143,146,–,1,,
nihongoup.com,,processing error.,0,processing error.,,,,,–,1,1,
forestrycenter.org,,java.lang.illegalstateexception: javax.net.ssl.sslhandshakeexception: remote host closed connection during handshake,1,,17,2844,139,137,–,1,,
biteofhealthnutrition.com,,processing error.,0,processing error.,,,,,–,1,,
lessmeatlessheat.org,,processing error.,0,processing error.,,,,,–,0,,
ladiesofthelake.com, prescription,snapshot < text : badword  in (onlakeandpalmer or elp...\ read the rest of \stackridge's\ testimonial and be sure to stop in for a prescription of your own at our discussion forum. we have lots of great features including weekly ),0,,7,1561,263,257,–,1,1,prescription. 
pathwaystohope.net,,clean,0,,27,372,139,115,10,1,1,
areyouunlockable.com,,clean,0,,12,262,124,105,10,1,,anchors
thecozycoffee.com,,clean,0,,45,5935,2386,1055,11,1,1,
unscramblenow.com,,clean,0,,17,274,133,146,15,1,1,
almostontimesf.com,,clean,0,,11,176,121,100,16,0,,
weareperfectstrangers.org,,clean,0,,48,229,99,97,18,0,,
joyfullgames.com,insurance,snapshot < text : badword  in (ention not only within the academic community but also in... business4 days ago openhouseperth.net insurance for perth businesses understanding the importance of business insurance in perth operating),1,,23,98,68,59,–,1,,
winnershtriangle.com,,\many redirects: domain `winnershtriangle.com` has a high percentage of redirects (301:6% 30264%)\,0,,34,33145,278,269,23,1,1,
simplyorderly.com,,large amount of outbound links (577) (snapshot <,0,,36,11182,271,287,–,0,,
frameworkcycles.com,,domain incomplete please refresh,0,,24,20555,307,286,–,1,1,
dmpva.com, slot,anchors : badword  in (visa288 slot),1,,21,5291,3958,3547,–,1,,
lyfebotanicals.com, slot,anchors : badword  in (agen slot terpercaya),1,,68,14329,1759,1430,–,1,,
davinadiaries.com, pills,snapshot < text : badword  in (with him after he agitated for the marriage and ordinance law against... juice wrld allegedly popped pills before seizure that caused his death photos from the... davina - december 10 2019 0 rising ),0,,26,684846,649,520,–,0,,
themodernnursery.com,,large amount of outbound links (826) (snapshot <,1,,33,5658,310,253,–,1,,
bringingpaback.com, slot,snapshot < title : badword  in (dewa234 - games judi slot deposit pulsa terpercaya 2021),0,,22,348,134,137,–,0,,
new-wave.com,64 | 249,\significant increase in outbound links (new-wave.com-2009-09-28  -> new-wave.com-2010-05-20 )\,0,,14,356,113,104,16,0,,
hardhattedwoman.com,,archive.org snapshots with status 403 during latest year,1,,22,189,82,91,–,0,,
thisisluckyme.com, fuck,snapshot < text : badword  in (advent calendar. well the last few months have been crazy for azealia on the back of 212 blowing the fuck up. but she flew to berlin to catch up with travis formulate a plan and found time to get loo),0,,39,13001,701,597,–,1,1,
mommydaddyblog.com, prescription,snapshot < text : badword  in (day long missing lunch and the lobby had become crowded. we asked him a few questions grabbed our prescription for prenatals and scheduled another visit for january 2nd. on the 2nd we’ll get more ),0,,12,11026,268,186,–,0,,
performance-appraisal.com,2219 | 3242,\significant increase in content (performance-appraisal.com-2023-06-09  -> performance-appraisal.com-2023-12-06 )\,0,,19,903,265,270,13,1,1,outbounds
bestofpicture.com,,domain incomplete please refresh,0,,9,282,120,113,–,1,1,
fermentedlychallenged.com,insurance,snapshot < text : badword  in (local governments afford to do without the huge tax revenues that alcoholic beverages generate? can insurance companies and lawyers who make a lot of money off of car insurance premiums and prosecuti),1,,24,18464,351,268,–,1,,
theurgetohelp.com,,clean,0,,15,421,259,120,12,1,1,outbounds
