Domain Name,Flagged,Message,Spam,Potential Spam,Ahrefs DR,Ahrefs BL,Ahrefs RD,Ahrefs Ref IPs,SZ Score,Indexed,Expiry Date
lapq.org,,clean,0,,22.0,413.0,153.0,115.0,10,1,06/02/2025 16:05:00
familylifeedu.org,,clean,0,,31.0,437.0,157.0,146.0,10,0,06/02/2025 19:24:00
techsolutionmaster.com,,clean,0,,13.0,7069.0,680.0,809.0,14,1,06/02/2025 19:11:00
peaceforpits.org,,clean,0,,18.0,663.0,128.0,115.0,13,1,06/02/2025 16:03:00
bearsinn.com,275 | 3230,\significant increase in content (bearsinn.com-2018-10-18  -> bearsinn.com-2019-06-06 )\,0,,22.0,548.0,188.0,191.0,13,0,06/02/2025 18:31:00
architectsforpeace.org,,processing error.,0,processing error.,,,,,–,1,06/02/2025 17:46:00
unchartedplay.com,,clean,0,,49.0,2124.0,876.0,787.0,5,1,06/02/2025 17:21:00
principledheart.com, slot,snapshot < text : badword  in (y pg soft habanero spadegaming joker nolimit city micro gaming jili fastspin playstar live22 cq9 sbo slot pragmatic play ion casino evolution sexy gaming allbet sa gaming micro gaming opus plus sbobet),1,,21.0,1109.0,145.0,138.0,–,1,06/02/2025 16:17:00
mysolmat.com,626 | 1677,\significant increase in content (mysolmat.com-2021-12-31  -> mysolmat.com-2022-05-01 )\,0,,15.0,402.0,115.0,121.0,24,1,06/02/2025 16:54:00
spectrumpolicy.org,54 | 1962,\significant increase in content (spectrumpolicy.org-2019-09-16  -> spectrumpolicy.org-2020-08-09 )\,0,,31.0,509.0,105.0,112.0,21,1,06/02/2025 15:00:00
tinymos.com,,processing error.,0,processing error.,,,,,–,1,06/02/2025 15:00:00
bodyshapestyle.com,handbag,snapshot < text : badword  in (subdued top or a shiny camisole matched with black pants if you’re bigger on the bottom. 5. a small handbag if you’re a big person and you go with a small handbag it’s not the handbag that’s going to ),0,,10.0,556.0,205.0,227.0,–,1,06/02/2025 15:00:00
greendaydxb.com,,insufficient archive.org history available,0,insufficient archive.org history available,10.0,117.0,86.0,83.0,–,1,06/02/2025 15:00:00
wishcentral.org, poker,snapshot < text : badword  in (vents 2nd annual bag ladyz brunch wish granter training -osceola county 3rd annual proud veterans mr poker run free 3\ turkey sub at blimpie world's largest ice cream social wish granter training - po),1,,7.0,94.0,59.0,57.0,–,1,06/02/2025 15:00:00
contextsf.org, casino,snapshot < title : badword  in (migliori casino online - casino italiani legali aams),1,,20.0,1974.0,329.0,298.0,–,1,06/02/2025 18:38:00
thefocuspull.com, escort | …,snapshot < text : badword  in ( the sensational “like someone in love”. akiko (rin takanashi) a college student moonlighting as an escort in tokyo is sent to see the elderly    a fresh look at: divine intervention (2002) “divi),1,,24.0,1078.0,429.0,266.0,–,1,06/02/2025 18:23:00
urdirt.com, fuck,snapshot < text : badword  in ( ufc pay-per-view prices will not be raised from $49.99 or $54.99 (hd) anytime soon. dana white says fuck a lot in this video and swears on a stack of “octagon” books that there will be no price raise),0,,17.0,2748.0,365.0,305.0,–,0,06/02/2025 18:34:00
nextgenjournal.com,,processing error.,0,processing error.,,,,,–,1,06/02/2025 19:18:00
