Domain Name,Status,SZ Score,Spam message,Active History,Domain Age,Parked Pages,Redirects,Languages,Titles,Links,Archive,3xx Responses,2xx Responses,Min Words,Max Words,Min Hrefs,Max Hrefs,Ahrefs Domain Rating,Ahrefs URL Rating,Ahrefs Backlinks,Ahrefs Ref Domains,Ahrefs Ref Pages,Ahrefs Ref IPs, Ahrefs Ref Class C,Ahrefs Nofollow,Ahrefs Dofollow,Ahrefs Text,Ahrefs Image,Ahrefs Links External,Ahrefs .gov,Ahrefs .edu,Majestic Trust Flow,Majestic Citation Flow,Majestic External Backlinks,Majestic Ref Domains,Majestic Indexed URLs,Majestic Ref IPs,Majestic Ref Subnets,Majestic .gov,Majestic .edu,Majestic Redirect,Majestic Anchor Language,Majestic Topic 1,Majestic Topic 2,Majestic Topic 3,Lang History
sunshineingovernment.org,spam,–,ANCHORS : Badword [ slot] in (demo slot),19.0,19.0,0.0,65.0,en,Sunshine in Government Initiative,noted,http://web.archive.org/web/20060919084927if_/http://www.sunshineingovernment.org:80/,65.0,286.0,41.0,1788.0,50.0,115.0,35.0,15.0,2447.0,269.0,1516.0,280.0,239.0,161.0,2286.0,2447.0,109.0,54569.0,2.0,13.0,20.0,20.0,489.0,82.0,538.0,80.0,78.0,0.0,0.0,No,English German Italian Indonesian Japanese,Society/Politics,Society/Government,Shopping/Publications,2006: English
,,,,,,,,,The Sunshine in Government Initiative | Promoting transparency & accountability in government,slot demo,http://web.archive.org/web/20070321013833if_/http://www.sunshineingovernment.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007: English
,,,,,,,,,The Sunshine in Government Initiative – Promoting transparency & accountability in government,sunshine in government initiative,http://web.archive.org/web/20071109145229if_/http://www.sunshineingovernment.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008: English
,,,,,,,,,sunshineingovernment.org is expired,hundreds of other stories,http://web.archive.org/web/20080509194517if_/http://www.sunshineingovernment.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009: English
,,,,,,,,,WINSTAR138 - Daftar Slot Demo 2023,demo slot,http://web.archive.org/web/20081204011546if_/http://www.sunshineingovernment.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010: English
,,,,,,,,,Default Web Site Page,http://www.sunshineingovernment.org/,http://web.archive.org/web/20090618105617if_/http://www.sunshineingovernment.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011: English
,,,,,,,,,,sunshineingovernment.org,http://web.archive.org/web/20091219105348if_/http://www.sunshineingovernment.org:80/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012: English
,,,,,,,,,,foia files,http://web.archive.org/web/20100717022928if_/http://www.sunshineingovernment.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013: English
,,,,,,,,,,the sunshine in government initiative,http://web.archive.org/web/20110507122607if_/http://www.sunshineingovernment.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014: English
,,,,,,,,,,sunshine in government,http://web.archive.org/web/20110925133621if_/http://www.sunshineingovernment.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015: English
